dataset,configuration,question_id,status,sentences,citation_presence_rate,human_support_rate,automatic_support_rate
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-7013890438520559398,annotated,3,1.0,1.0,0.6666666666666666
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,7089015503030534342,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,8793099883447006698,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-881464876144297194,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,1650309494326541834,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,2378678654868379935,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-3322598412088356524,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-4633355453516911545,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-7464414779466400769,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,1562758409663917015,annotated,4,0.5,0.5,0.5
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,7813254335895169912,annotated,3,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,732619765350082410,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,6962706727076805207,annotated,1,0.0,0.0,0.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,3127369420834732535,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-8056895208806271453,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,4131723857510142703,annotated,2,0.5,0.5,0.5
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-6617858863213285972,annotated,3,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-7031499911070053371,annotated,6,0.3333333333333333,0.16666666666666666,0.16666666666666666
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-2419910984507145175,annotated,2,1.0,0.5,0.5
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,3228155858422343609,annotated,1,1.0,1.0,0.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-4873786835306543030,annotated,3,0.3333333333333333,0.0,0.3333333333333333
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,7341847432427402002,annotated,2,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,9208802889973064064,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-6491913195208307840,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,6818525918465491519,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,3421083040429613594,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-3766268167311659635,annotated,5,1.0,0.8,0.6
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,1669382249251092390,annotated,2,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-3675478481857186593,annotated,3,0.6666666666666666,0.6666666666666666,0.3333333333333333
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-760711577307303110,annotated,4,0.75,0.25,0.25
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-2028008768314817948,annotated,2,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,3658847669702107248,annotated,3,0.6666666666666666,0.3333333333333333,0.6666666666666666
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,1249880653163144885,annotated,3,1.0,0.3333333333333333,0.6666666666666666
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-5842265707961388968,annotated,4,0.5,0.25,0.25
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-980277355338003007,annotated,3,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-2308605614870982079,annotated,2,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,6991956743207247076,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-2352037698769402666,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,3783314997423605362,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,4499452346514611435,annotated,1,0.0,0.0,0.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,2240932998074597895,annotated,3,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-2587736270657707397,annotated,3,1.0,0.6666666666666666,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-8113348361974619629,annotated,3,1.0,0.6666666666666666,0.6666666666666666
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-8374334863981745899,annotated,2,0.0,0.0,0.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-4814171382648920164,annotated,4,0.75,0.25,0.5
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,1029755223764707835,annotated,4,0.75,0.5,0.75
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-4891954000928831702,annotated,1,1.0,1.0,0.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,6750695717303546788,annotated,2,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,2806020951549731374,annotated,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-4879828696940526525,annotated,1,1.0,1.0,0.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,4888381097814967011,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,434290836324078234,annotated,3,0.6666666666666666,0.0,0.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,2872295608752061902,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,9184423694390444844,annotated,4,0.75,0.5,0.5
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-6253059790504461986,annotated,5,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-5021421578587820891,annotated,5,1.0,1.0,0.8
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-3298679965487154416,annotated,1,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-1854705900900914247,annotated,3,1.0,0.6666666666666666,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,2771414991157063420,annotated,2,1.0,1.0,1.0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,4150448921344430432,annotated,4,1.0,0.75,0.5
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-3469572554119413466,annotated,5,1.0,0.6,0.2
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,5326119942658671302,annotated,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,-5437055545265308142,annotated,2,1.0,1.0,1.0
