dataset,configuration,configuration_label,question_id,sentence_index,citation_count,citation_present,human_supported,automatic_supported
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-7013890438520559398,0,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-7013890438520559398,1,1,1,1,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-7013890438520559398,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,7089015503030534342,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,8793099883447006698,0,3,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-881464876144297194,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,1650309494326541834,0,3,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,2378678654868379935,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3322598412088356524,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-4633355453516911545,0,3,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-7464414779466400769,0,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,1562758409663917015,0,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,1562758409663917015,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,1562758409663917015,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,1562758409663917015,3,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,7813254335895169912,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,7813254335895169912,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,7813254335895169912,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,732619765350082410,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,6962706727076805207,0,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,3127369420834732535,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-8056895208806271453,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4131723857510142703,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4131723857510142703,1,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6617858863213285972,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6617858863213285972,1,3,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6617858863213285972,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-7031499911070053371,0,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-7031499911070053371,1,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-7031499911070053371,2,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-7031499911070053371,3,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-7031499911070053371,4,3,1,0,0
